Part,Value,Device,Package,Description,DIGIKEY,MANUFACTURER,MPN,
R35,1M,R-US_R0603,R0603,RESISTOR,311-1.00MHRCT-ND,Yageo,RC0603FR-071ML,
R36,1.3M,R-US_R0603,R0603,RESISTOR,YAG3326CT-ND,Yageo,RC0603FR-071M3L,
R37,2.2M,R-US_R0603,R0603,RESISTOR,311-2.2MGRCT-ND,Yageo,RC0603JR-072M2L,
R38,10M,R-US_R0603,R0603,RESISTOR,311-10MGRCT-ND,Yageo,RC0603JR-0710ML,
TP13,TEST-POINT,TEST-POINT,PAD.03X.03,,,,,
TP14,TEST-POINT,TEST-POINT,PAD.03X.03,,,,,
TP15,TPTP06SQ,TPTP06SQ,TP06SQ,Test pad,,,,
U$5,.1uF,CAPACITOR_0603_L,RESC0603_L,Generic chip capacitor,,,,
U1,AB1815-T3,AB1815-T3,QFN-16-3MM,Ultra-low current RTC. 55nA quiescent @ 3V. 1.5-3.6V input.,535-11936-1-ND,Abracon,AB1815-T3,
U2,BGA725L6-ALT,BGA725L6-ALT,LNA-TSLP-6-2-ALT,,BGA725L6E6327FTSA1CT-ND,Infineon,BGA725L6E6327FTSA1,
U3,FTDI234XD,FTDI234XD,DFN-12/3MM,FTDI234XD USB to UART Bridge in 3x3 DFN Package,768-1178-1-ND,,,
U4,SAFFB1G56KB0F0A,FILTERS,QCS5I,,587-3990-1-ND,Taiyo Yuden,F6QA1G582H2JM-J,
U5,MAX8887EZK33+T,MAX8887EZK33+T,SOT-23-5,IC REG LDO 3.3V 0.3A TSOT23-5,MAX8887EZK33+TCT-ND,,,
U6,MCP73831,MCP73831,DFN-8-MCP,Description: Device for MCP73831,,,,
U7,MAX-M8,MAX-M8,MAX-M8,,672-1003-1-ND,u-blox,MAX-M8Q-0,
U8,MAX67XXMAX6749MAX67XX,MAX67XXMAX6749MAX67XX,SOT-23-8,A simple watchdog timer with adjustable timeouts and reset time,MAX6749KA+TCT-ND,Maxim Integrated,MAX6749KA+T,
U9,NRF52840,NRF52840,AQFN73,ultra-low power 2.4 GHz wireless system on chip (SoC) integrating a multiprotocol 2.4 GHz transceiver,,,,
U10,SIP32510,SIP32510,TSOT23-6,Load switch,,,,
U11,SIP32510,SIP32510,TSOT23-6,Load switch,,,,
U12,UBLOX_SARA_G350,UBLOX_SARA_G350,UBLOX_SARA_G3,Sara G350 2.5G Radio Module,,,,
U13,TXB0104RUT,TXB0104RUT,UQFN-12,4-channel bidirectional level translater,296-25888-1-ND,TI,TXB0104RUTR,
U15,MAX4734EUB+,MAX4734EUB+,21-0061L,,,,,
U20,MAX4734EUB+,MAX4734EUB+,21-0061L,,,,,
U21,MAX4734EUB+,MAX4734EUB+,21-0061L,,,,,
U22,MAX4734EUB+,MAX4734EUB+,21-0061L,,,,,
X1,ABS07-32.768KHZ-7-T,ABS07-32.768KHZ-7-T,2-SMD,32.768kHz Crystal,535-9543-1-ND,ABRACON,ABS07-32.768KHZ-7-T ,
X4,32MHz,7V-32.000MAHV-T,TXC-7V,TXC CRYSTAL SMD,887-2568-1-ND,TXC CORPORATION,7M-32.000MAHV-T,
X5,32.768kHz,ABS05-32.768KHZ-9-T,ABS05,32.768kHz Crystal,535-11897-1-ND,Abracon,ABS05-32.768KHZ-9-T,
